product_category_name;total_itens;total_pedidos;atraso_pct;nota_media
audio;363;348;0.11570247933884298;3.83008356545961
casa_conforto;432;392;0.09259259259259259;3.8511627906976744
moveis_escritorio;1678;1254;0.07985697258641239;3.5174278846153846
livros_tecnicos;265;256;0.07924528301886792;4.393939393939394
bebes;2990;2809;0.0765886287625418;4.079204583754635
eletronicos;2730;2517;0.07582417582417582;4.067502766506824
beleza_saude;9521;8649;0.07572733956517172;4.1907379995770775
instrumentos_musicais;652;611;0.0736196319018405;4.222910216718266
construcao_ferramentas_iluminacao;302;242;0.0728476821192053;4.085324232081911
moveis_sala;499;414;0.07214428857715431;3.937246963562753
relogios_presentes;5867;5493;0.07209817623998636;4.071612570839774
cama_mesa_banho;11107;9272;0.07031601692626271;3.9209831588529815
automotivo;4157;3809;0.07024296367572769;4.116132167152576
alimentos;499;441;0.07014028056112225;4.262833675564682
moveis_decoracao;8239;6307;0.0697900230610511;3.9501164358377254
telefonia;4434;4093;0.06946323861073522;3.9950090744101634
papelaria;2474;2264;0.06831042845594179;4.244001626677512
ferramentas_jardim;4282;3448;0.06562354040168146;4.081335213916314
perfumaria;3357;3088;0.06493893357164135;4.214883442916916
informatica_acessorios;7707;6529;0.064616582327754;3.9851388345717638
industria_comercio_e_negocios;265;231;0.06415094339622641;4.125954198473282
brinquedos;4038;3804;0.0638930163447251;4.2068879460943345
construcao_ferramentas_construcao;918;736;0.06318082788671024;4.090909090909091
esporte_lazer;8489;7530;0.06266933678878549;4.165955429113324
livros_interesse_geral;536;495;0.061567164179104475;4.511278195488722
eletrodomesticos_2;233;227;0.060085836909871244;4.1594827586206895
consoles_games;1090;1018;0.05871559633027523;4.137962962962963
casa_construcao;597;483;0.05862646566164154;3.959527824620573
cool_stuff;3727;3559;0.058223772471156426;4.194699837750135
construcao_ferramentas_jardim;234;190;0.05555555555555555;4.1239316239316235
fashion_bolsas_e_acessorios;2005;1821;0.05286783042394015;4.190977443609023
utilidades_domesticas;6819;5743;0.04986068338466051;4.1084070796460175
pet_shop;1926;1688;0.04932502596053998;4.217527386541471
eletroportateis;662;609;0.045317220543806644;4.225266362252664
bebidas;365;287;0.043835616438356165;4.1287671232876715
moveis_cozinha_area_de_servico_jantar_e_jardim;274;241;0.043795620437956206;4.033088235294118
eletrodomesticos;792;747;0.04292929292929293;4.225602027883396
fashion_calcados;260;235;0.04230769230769231;4.28515625
malas_acessorios;1077;1019;0.04178272980501393;4.352283317800559
alimentos_bebidas;271;221;0.04059040590405904;4.369003690036901
telefonia_fixa;256;212;0.0390625;3.758893280632411
climatizacao;289;246;0.03806228373702422;4.052816901408451
market_place;305;274;0.036065573770491806;4.072607260726072
agro_industria_e_comercio;206;177;0.03398058252427184;4.087378640776699
