seller_id;seller_city;seller_state;total_itens;total_pedidos;atraso_pct;nota_media
b499c00f28f4b7069ff6550af8c1348a;limeira;SP;183;147;0.11475409836065574;4.229508196721311
b2479f944e1b90cf8a5de1bbfde284d6;ibitinga;SP;132;101;0.11363636363636363;3.3206106870229006
59b22a78efb79a4797979612b885db36;uberlandia;MG;133;125;0.11278195488721804;3.9696969696969697
dd7ddc04e1b6c2c614352b383efe2d36;sao paulo;SP;142;121;0.11267605633802817;3.780141843971631
7d13fca15225358621be4086e1eb0964;ribeirao preto;SP;571;558;0.11208406304728546;4.017605633802817
897060da8b9a21f655304d50fd935913;ribeirao preto;SP;417;304;0.11031175059952038;3.4745762711864407
f3da5b2ff499efb8d4a6d371d175d7dd;sao paulo;SP;83;77;0.10843373493975904;3.902439024390244
a416b6a846a11724393025641d4edd5e;sao paulo;SP;176;157;0.10795454545454546;4.215909090909091
8444e55c1f13cd5c179851e5ca5ebd00;congonhal;MG;102;92;0.10784313725490197;3.156862745098039
056b4ada5bbc2c50cc7842547dda6b51;queimados;RJ;65;64;0.1076923076923077;4.15625
6fd52c528dcb38be2eea044946b811f8;sao paulo;SP;84;67;0.10714285714285714;3.5
4869f7a5dfa277a7dca6462dcf3b52b2;guariba;SP;1148;1124;0.10540069686411149;4.139473684210526
fd386aa7bed2af3c7035c65506c9b4a3;sao paulo;SP;76;69;0.10526315789473684;4.355263157894737
99eaacc9e6046db1c82b163c5f84869f;franca;SP;67;63;0.1044776119402985;4.014925373134329
a673821011d0cec28146ea42f5ab767f;sao paulo;SP;144;125;0.10416666666666667;3.9130434782608696
5058e8c1e82653974541e83690655b4a;itaquaquecetuba;SP;77;62;0.1038961038961039;3.08
f46490624488d3ff7ce78613913a7711;guarulhos;SP;87;80;0.10344827586206896;3.574712643678161
50c9975695009e5e6473912e83a6d1da;claudio;MG;68;50;0.10294117647058823;3.985074626865672
c3867b4666c7d76867627c2f7fb22e21;guara;SP;243;228;0.102880658436214;4.024896265560166
3db66a856d18a9cba7c9241fc5221c50;ponte nova;MG;99;94;0.10101010101010101;4.171717171717172
06579cb253ecd5a3a12a9e6eb6bf8f47;sao paulo - sp;SP;70;61;0.1;3.842857142857143
42b729f859728f5079499127a9c2ef37;sao paulo;SP;131;103;0.09923664122137404;4.364341085271318
3df020b72d3d44b3af9d110fa3940b65;jales;SP;101;55;0.09900990099009901;3.9504950495049505
8e6d7754bc7e0f22c96d255ebda59eba;sao jose dos campos;SP;132;84;0.09848484848484848;3.0303030303030303
